Term
Sweet
Off-dry
Honeyed
Sugary
Luscious
Crisp
Bright
Zesty
Tart
Refreshing
Grippy
Firm
Astringent
Velvety
Silky
Light-bodied
Medium-bodied
Full-bodied
Rich
Weighty
Fruity
Spicy
Earthy
Herbal
Nutty
Floral
Oaky
Buttery
Long
Lingering
Short
Smooth
Bitter
Spicy
Balanced
Complex
Elegant
Robust
Subtle
Intense
Velvety
Structured
Rounded
Minerality
Juicy
Dense
Savory
